city,lat,lng
Delhi,28.61,77.23
Punjabi Bagh,28.61,77.23
Nirman Vihar,28.61,77.23
Indraprastha,28.61,77.23
Gwal Pahari,28.61,77.23
Jhilmil,28.61,77.23
Meerut,28.9846,77.7059
Panchsheel Park,28.61,77.23
Noida,28.5355,77.391
Khan Market,28.61,77.23
Subhash Chowk,28.61,77.23
Noida,28.5355,77.391
Govindpuri,28.61,77.23
Saket,28.61,77.23
Tis Hazari,28.61,77.23
Paschim Vihar,28.61,77.23
Dwarka Mor,28.61,77.23
Lajpat Nagar,28.61,77.23
Keshav Puram,28.61,77.23
Dwarka Sector 21,28.61,77.23
Udyog Vihar Phase 4,28.4595,77.0266
Moolchand,28.61,77.23
Narsinghpur,28.4595,77.0266
Indirapuram,28.6692,77.4538
Adarsh Nagar,28.61,77.23
Khandsa,28.4595,77.0266
Janakpuri,28.61,77.23
Rohini West,28.61,77.23
Ramesh Nagar,28.61,77.23
Sushant Lok,28.4595,77.0266
IFFCO Chowk,28.4595,77.0266
Vasant Kunj,28.61,77.23
Gurgaon,28.4595,77.0266
Faridabad,28.4089,77.3178
Badshahpur,28.61,77.23
Ambience Mall,28.4595,77.0266
Lok Kalyan Marg,28.61,77.23
Gurgaon,28.4595,77.0266
South Extension,28.61,77.23
Aya Nagar,28.61,77.23
Bhikaji Cama Place,28.61,77.23
Hero Honda Chowk,28.4595,77.0266
Noida,28.5355,77.391
Shastri Park,28.61,77.23
Ashok Park Main,28.61,77.23
Kadarpur,28.4595,77.0266
Ashok Vihar,28.61,77.23
Moti Nagar,28.61,77.23
Sonipat,28.9286,77.091
Sikanderpur,28.4595,77.0266
Jahangirpuri,28.61,77.23
Arjangarh,28.61,77.23
Seelampur,28.61,77.23
Green Park,28.61,77.23
Connaught Place,28.61,77.23
Munirka,28.61,77.23
Rithala,28.61,77.23
Gurgaon,28.4595,77.0266
Delhi,28.61,77.23
Mehrauli,28.61,77.23
Udyog Bhawan,28.61,77.23
Sultanpur,28.61,77.23
Golf Course Road,28.4595,77.0266
Greater Kailash,28.61,77.23
Chhatarpur,28.61,77.23
Paharganj,28.61,77.23
DLF City Court,28.4595,77.0266
Okhla,28.61,77.23
Gurgaon,28.4595,77.0266
Shahdara,28.61,77.23
Lal Quila,28.61,77.23
Sarojini Nagar,28.61,77.23
Saidulajab,28.61,77.23
Central Secretariat,28.61,77.23
GTB Nagar,28.61,77.23
Pragati Maidan,28.61,77.23
Sarai Kale Khan,28.61,77.23
Peeragarhi,28.61,77.23
Rajouri Garden,28.61,77.23
Hauz Khas,28.61,77.23
Tughlakabad,28.61,77.23
Vishwavidyalaya,28.61,77.23
Chanakyapuri,28.61,77.23
Jor Bagh,28.61,77.23
Vaishali,28.6692,77.4538
Basai Dhankot,28.4595,77.0266
Saket A Block,28.61,77.23
Azadpur,28.61,77.23
Ashram,28.61,77.23
DLF Phase 3,28.4595,77.0266
Palam Vihar,28.4595,77.0266
Noida,28.5355,77.391
Pulbangash,28.61,77.23
Kherki Daula Toll,28.4595,77.0266
Anand Vihar ISBT,28.61,77.23
Udyog Vihar,28.4595,77.0266
IGNOU Road,28.61,77.23
Kashmere Gate,28.61,77.23
Welcome,28.61,77.23
Vatika Chowk,28.4595,77.0266
Shastri Nagar,28.61,77.23
Model Town,28.61,77.23
Mayur Vihar,28.61,77.23
Ghaziabad,28.6692,77.4538
Kanhaiya Nagar,28.61,77.23
Mansarovar Park,28.61,77.23
Gurgaon,28.4595,77.0266
Mundka,28.61,77.23
MG Road,28.4595,77.0266
Vidhan Sabha,28.61,77.23
Preet Vihar,28.61,77.23
Ardee City,28.4595,77.0266
INA Market,28.61,77.23
Delhi,28.61,77.23
Tagore Garden,28.61,77.23
Delhi,28.61,77.23
New Colony,28.4595,77.0266
Rohini,28.61,77.23
Vinobapuri,28.61,77.23
Greater Noida,28.4744,77.503
India Gate,28.61,77.23
Karkarduma,28.61,77.23
Akshardham,28.61,77.23
Kashmere Gate ISBT,28.61,77.23
RK Puram,28.61,77.23
AIIMS,28.61,77.23
Subhash Nagar,28.61,77.23
Inderlok,28.61,77.23
Panipat,29.391,76.9635
Satguru Ram Singh Marg,28.61,77.23
IMT Manesar,28.357,76.939
Yamuna Bank,28.61,77.23
Kaushambi,28.6692,77.4538
Barakhamba Road,28.61,77.23
Gurgaon,28.4595,77.0266
Tilak Nagar,28.61,77.23
Patel Chowk,28.61,77.23
Huda City Centre,28.61,77.23
Jama Masjid,28.61,77.23
Hauz Rani,28.61,77.23
Chandni Chowk,28.61,77.23
Karol Bagh,28.61,77.23
Ghitorni,28.61,77.23
Bhiwadi,28.21,76.8606
Madipur,28.61,77.23
Laxmi Nagar,28.61,77.23
Jasola,28.61,77.23
Raj Nagar Extension,28.6692,77.4538
Kalkaji,28.61,77.23
Botanical Garden,28.61,77.23
Rohini East,28.61,77.23
Pataudi Chowk,28.4595,77.0266
ITO,28.61,77.23
Bahadurgarh,28.6929,76.9358
Dilshad Garden,28.61,77.23
Malviya Nagar,28.61,77.23
Shivaji Park,28.61,77.23
Kirti Nagar,28.61,77.23
Ghitorni Village,28.61,77.23
Qutub Minar,28.61,77.23
IGI Airport,28.61,77.23
Cyber Hub,28.4595,77.0266
Sohna Road,28.4595,77.0266
Anand Vihar,28.61,77.23
Manesar,28.357,76.939
Uttam Nagar,28.61,77.23
Nehru Place,28.61,77.23
Nawada,28.61,77.23
Netaji Subhash Place,28.61,77.23
Pitampura,28.61,77.23
Badarpur,28.61,77.23
Rajiv Nagar,28.61,77.23
Maidan Garhi,28.61,77.23
Samaypur Badli,28.61,77.23
Rajiv Chowk,28.61,77.23
Mandi House,28.61,77.23
